cell,param,direction,stability_score,n_years_tested,avg_lift_pp,years_detail
gbp|bullish,trend_age_bars_1h,mostly_down,4,7,7.27,"2019:up,2020:down,2021:up,2022:down,2023:up,2024:down,2025:down"
gbp|bullish,trend_age_impulses,mostly_up,4,7,3.69,"2019:down,2020:up,2021:down,2022:up,2023:down,2024:up,2025:up"
gbp|bullish,max_retest_penetration_atr,mostly_down,5,7,2.93,"2019:down,2020:down,2021:up,2022:down,2023:down,2024:up,2025:down"
gbp|bullish,bars_between_retest_and_break,mostly_up,5,7,3.1,"2019:up,2020:up,2021:up,2022:down,2023:up,2024:up,2025:down"
gbp|bullish,aoi_touch_count_since_creation,mostly_down,5,7,4.37,"2019:up,2020:down,2021:down,2022:up,2023:down,2024:down,2025:down"
gbp|bullish,signal_candle_range_atr,mostly_up,5,7,3.62,"2019:up,2020:down,2021:up,2022:up,2023:down,2024:up,2025:up"
gbp|bullish,signal_candle_body_atr,mostly_up,4,7,3.4,"2019:down,2020:up,2021:up,2022:down,2023:down,2024:up,2025:up"
gbp|bullish,aoi_near_edge_atr,mostly_up,4,7,4.65,"2019:down,2020:up,2021:up,2022:up,2023:down,2024:down,2025:up"
gbp|bullish,aoi_far_edge_atr,mostly_up,5,7,4.13,"2019:down,2020:up,2021:up,2022:up,2023:down,2024:up,2025:up"
gbp|bullish,opp_extreme,mostly_up,5,7,3.4,"2019:down,2020:up,2021:up,2022:up,2023:down,2024:up,2025:up"
gbp|bullish,trend_alignment_strength,mostly_down,4,7,7.27,"2019:up,2020:down,2021:up,2022:down,2023:up,2024:down,2025:down"
gbp|bullish,hour_of_day_utc,mostly_up,4,7,2.67,"2019:up,2020:up,2021:down,2022:up,2023:down,2024:down,2025:up"
gbp|bullish,conflicted_tf,mostly_down,4,7,7.27,"2019:up,2020:down,2021:up,2022:down,2023:up,2024:down,2025:down"
jpy|bearish,htf_range_position_mid,mostly_down,4,7,2.79,"2019:up,2020:down,2021:down,2022:down,2023:up,2024:down,2025:up"
jpy|bearish,htf_range_position_high,mostly_up,5,7,5.83,"2019:up,2020:down,2021:up,2022:up,2023:up,2024:down,2025:up"
jpy|bearish,session_directional_bias,mostly_up,5,7,4.24,"2019:down,2020:up,2021:up,2022:up,2023:up,2024:up,2025:down"
jpy|bearish,break_close_location,mostly_up,5,7,4.48,"2019:up,2020:up,2021:down,2022:up,2023:up,2024:up,2025:down"
jpy|bearish,break_impulse_range_atr,mostly_down,5,7,5.81,"2019:down,2020:down,2021:up,2022:up,2023:down,2024:down,2025:down"
jpy|bearish,break_impulse_body_atr,mostly_down,5,7,3.44,"2019:down,2020:down,2021:down,2022:up,2023:up,2024:down,2025:down"
jpy|bearish,retest_candle_body_penetration,mostly_up,4,7,1.74,"2019:up,2020:down,2021:up,2022:up,2023:up,2024:down,2025:down"
jpy|bearish,aoi_height_atr,mostly_up,4,6,2.71,"2019:up,2020:up,2021:down,2022:up,2024:down,2025:up"
jpy|bearish,distance_to_next_htf_obstacle_atr,mostly_up,5,7,3.98,"2019:up,2020:down,2021:down,2022:up,2023:up,2024:up,2025:up"
jpy|bearish,distance_from_last_impulse_atr,mostly_down,4,7,5.25,"2019:up,2020:down,2021:down,2022:down,2023:up,2024:down,2025:up"
jpy|bearish,recent_trend_payoff_atr_24h,mostly_up,5,7,2.92,"2019:up,2020:up,2021:up,2022:up,2023:down,2024:up,2025:down"
jpy|bearish,recent_trend_payoff_atr_48h,mostly_up,4,7,4.44,"2019:down,2020:up,2021:up,2022:up,2023:down,2024:up,2025:down"
jpy|bearish,aoi_time_since_last_touch,mostly_up,4,7,3.17,"2019:up,2020:up,2021:down,2022:down,2023:up,2024:up,2025:down"
jpy|bearish,aoi_last_reaction_strength,mostly_up,4,7,5.12,"2019:up,2020:down,2021:up,2022:down,2023:up,2024:up,2025:down"
jpy|bearish,htf_range_size_mid_atr,mostly_down,4,7,3.38,"2019:up,2020:up,2021:up,2022:down,2023:down,2024:down,2025:down"
jpy|bearish,aoi_midpoint_range_position_mid,mostly_up,4,7,4.14,"2019:down,2020:down,2021:up,2022:up,2023:up,2024:down,2025:up"
jpy|bearish,trend_age_bars_1h,mostly_up,4,7,2.88,"2019:up,2020:up,2021:down,2022:up,2023:down,2024:up,2025:down"
jpy|bearish,trend_age_impulses,mostly_up,4,7,3.98,"2019:up,2020:up,2021:down,2022:down,2023:down,2024:up,2025:up"
jpy|bearish,max_retest_penetration_atr,mostly_up,5,7,3.73,"2019:up,2020:up,2021:up,2022:up,2023:up,2024:down,2025:down"
jpy|bearish,bars_between_retest_and_break,mostly_down,5,7,2.67,"2019:down,2020:up,2021:down,2022:down,2023:down,2024:down,2025:up"
jpy|bearish,aoi_touch_count_since_creation,mostly_up,6,7,1.72,"2019:down,2020:up,2021:up,2022:up,2023:up,2024:up,2025:up"
jpy|bearish,signal_candle_range_atr,mostly_down,5,7,5.81,"2019:down,2020:down,2021:up,2022:up,2023:down,2024:down,2025:down"
jpy|bearish,signal_candle_body_atr,mostly_down,5,7,3.44,"2019:down,2020:down,2021:down,2022:up,2023:up,2024:down,2025:down"
jpy|bearish,aoi_near_edge_atr,mostly_up,5,7,2.72,"2019:up,2020:up,2021:down,2022:up,2023:up,2024:down,2025:up"
