gate,lift,n_trades,tpy,win_pct,expectancy_r,max_losing_streak,profit_factor
aoi_touch_count_since_creation>=6.0,-0.0165,523,74.8,0.392,0.1872,10,1.312
htf_range_size_mid_atr>=20.32,-0.0166,814,116.4,0.3919,0.1942,12,1.325
aoi_near_edge_atr>=0.32,-0.017,820,117.2,0.3915,0.202,11,1.341
distance_from_last_impulse_atr<=0.93,-0.0171,815,116.5,0.3914,0.1886,10,1.315
recent_trend_payoff_atr_24h>=-0.38,-0.0178,814,116.4,0.3907,0.1894,11,1.316
aoi_height_atr>=1.78,-0.0183,164,23.4,0.3902,0.1838,7,1.305
signal_candle_opposite_extreme_atr>=1.25,-0.0195,401,57.3,0.389,0.2082,10,1.356
aoi_far_edge_atr>=2.47,-0.0196,162,23.2,0.3889,0.2142,6,1.366
break_impulse_range_atr>=1.5,-0.0204,402,57.5,0.3881,0.2177,10,1.375
aoi_touch_count_since_creation>=8.0,-0.0228,210,30.0,0.3857,0.159,11,1.26
aoi_last_reaction_strength<=0.84,-0.0234,322,46.0,0.3851,0.1685,9,1.278
break_impulse_body_atr>=0.64,-0.0237,816,116.7,0.3848,0.1815,12,1.303
htf_range_size_mid_atr>=25.36,-0.0237,408,58.3,0.3848,0.1636,9,1.268
conflicted_tf_null,-0.0247,469,67.0,0.3838,0.1613,12,1.264
signal_candle_opposite_extreme_atr>=0.87,-0.0251,806,115.2,0.3834,0.181,13,1.303
aoi_near_edge_atr>=1.02,-0.0281,163,23.3,0.3804,0.1863,8,1.315
break_impulse_range_atr>=1.14,-0.0292,812,116.1,0.3793,0.1689,13,1.281
aoi_last_reaction_strength<=0.41,-0.0305,164,23.4,0.378,0.1529,8,1.251
htf_range_size_mid_atr<=13.56,-0.0343,163,23.3,0.3742,0.155,13,1.257
aoi_near_edge_atr>=0.62,-0.0344,409,58.5,0.3741,0.1555,14,1.257
break_impulse_body_atr>=0.99,-0.0357,405,57.9,0.3728,0.1579,9,1.262
break_close_location>=0.91,-0.0371,420,60.0,0.3714,0.1359,9,1.222
htf_range_size_high_atr<=24.3,-0.0465,163,23.3,0.362,0.1104,7,1.178
break_close_location>=0.97,-0.048,147,21.0,0.3605,0.0816,8,1.128
aoi_midpoint_range_position_high>=0.81,-0.0519,415,59.3,0.3566,0.0852,9,1.135
htf_range_size_mid_atr>=30.96,-0.0649,163,23.3,0.3436,0.0444,14,1.068
