sl_model,mode,n_groups,groups,gate_label,n_trades,trades_per_year,win_pct,expectancy_r,max_losing_streak,profit_factor
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,trend_age_impulses>=5,912,130.4,0.3805,0.1414,15,1.228
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,htf_dir>=0.45,723,103.4,0.3804,0.1411,12,1.228
SL_AOI_NEAR_PLUS_0_5,threshold,1,jpy_pairs,bars_between_retest_and_break<=2,713,101.9,0.3801,0.1567,12,1.257
SL_AOI_NEAR_PLUS_0_5,threshold,1,jpy_pairs,signal_candle_opposite_extreme_atr>=0.5,863,123.4,0.3801,0.1544,16,1.252
SL_AOI_NEAR_PLUS_0_25,greedy,1,jpy_pairs,bars_between_retest_and_break<=2,742,106.1,0.3801,0.1422,11,1.23
SL_ATR_0_5,threshold,1,jpy_pairs,signal_candle_opposite_extreme_atr>=0.5,863,123.4,0.3801,0.1402,13,1.226
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,break_close_location>=0.5 & distance_to_next_htf_obstacle_atr>=0.25,1042,149.0,0.38,0.1637,14,1.27
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,bear_htf>=0.4&bull_htf>=0.3,953,136.2,0.3799,0.1437,23,1.233
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,htf_dir>=0.4,782,111.8,0.3798,0.1394,13,1.225
SL_ATR_0_5,threshold,1,jpy_pairs,break_close_location>=0.65,740,105.8,0.3797,0.1392,12,1.224
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,max_retest_penetration_atr<=1.0,917,131.1,0.3795,0.1428,15,1.231
SL_ATR_0_5,threshold,1,jpy_pairs,break_close_location>=0.5,871,124.5,0.3789,0.1366,12,1.22
SL_AOI_NEAR_PLUS_0_5,threshold,1,jpy_pairs,htf_range_size_mid_atr>=10,929,132.8,0.3789,0.1499,16,1.244
SL_SIGNAL_CANDLE,threshold,1,jpy_pairs,signal_candle_opposite_extreme_atr>=0.5,863,123.4,0.3789,0.1706,14,1.282
SL_SIGNAL_CANDLE,threshold,1,jpy_pairs,htf_range_size_mid_atr>=10,929,132.8,0.3789,0.1681,16,1.278
SL_ATR_0_5,threshold,1,jpy_pairs,trend_age_impulses>=3,885,126.5,0.3785,0.1356,13,1.218
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,htf_range_mid>=0.5,782,111.8,0.3785,0.1407,17,1.227
SL_AOI_NEAR_PLUS_0_5,threshold,1,jpy_pairs,max_retest_penetration_atr<=1.5,819,117.1,0.3785,0.1528,12,1.249
SL_ATR_0_5,threshold,1,jpy_pairs,max_retest_penetration_atr<=1.5,819,117.1,0.3785,0.1355,11,1.218
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,aoi_far_edge_atr>=1.5 & bars_between_retest_and_break<=3,909,129.9,0.3784,0.1472,13,1.239
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,bars_between_retest_and_break<=3 & break_close_location>=0.65,1023,146.2,0.3783,0.1542,14,1.253
SL_AOI_NEAR_PLUS_0_25,greedy,1,jpy_pairs,bars_between_retest_and_break<=2 & htf_range_size_mid_atr>=10,727,103.9,0.3783,0.1368,11,1.221
SL_AOI_NEAR_PLUS_0_25,greedy,1,jpy_pairs,signal_candle_opposite_extreme_atr>=0.5,846,120.9,0.3783,0.1395,15,1.225
SL_SIGNAL_CANDLE,threshold,1,jpy_pairs,htf_range_size_mid_atr>=15,788,112.6,0.3782,0.1617,13,1.266
